tournament_id,tournament_name,finish,player_name,school,ranking,total_score,rd1,rd2,rd3,points,scraped_at
238883,Information,1,New Mexico,Johnnie Clark,#123,-14.0,-4.0,-5.0,-5.0,117.9,2026-04-22T18:09:56.738788
238883,Information,T2,Long Beach State,Alejandro De Castro,#38,-11.0,-1.0,-7.0,-3.0,91.82,2026-04-22T18:09:56.738833
238883,Information,T2,Arizona State,Boston Bracken,,-11.0,-7.0,1.0,-5.0,91.82,2026-04-22T18:09:56.738870
238883,Information,T4,Arizona State,Connor Williams,#32,-10.0,-4.0,-2.0,-4.0,84.48,2026-04-22T18:09:56.738903
238883,Information,T4,San Diego,Ian Maspat,#119,-10.0,-6.0,-1.0,-3.0,84.48,2026-04-22T18:09:56.738935
238883,Information,6,Long Beach State,Steen Zeman,,-8.0,-4.0,-3.0,-1.0,71.51,2026-04-22T18:09:56.738962
238883,Information,7,Colorado,Brandon Knight,,-7.0,-2.0,0.0,-5.0,65.79,2026-04-22T18:09:56.738994
238883,Information,8,New Mexico,Mesa Falleur,#13,-6.0,-1.0,-3.0,-2.0,60.53,2026-04-22T18:09:56.739025
238883,Information,T9,Utah,Sergio Jimenez,#83,-5.0,2.0,-2.0,-5.0,55.69,2026-04-22T18:09:56.739055
238883,Information,T9,UCLA,Baylor Larrabee,#85,-5.0,-2.0,1.0,-4.0,55.69,2026-04-22T18:09:56.739085
238883,Information,T9,Arizona State,Michael Mjaaseth,#14,-5.0,-1.0,-3.0,-1.0,55.69,2026-04-22T18:09:56.739118
238883,Information,T9,Long Beach State,Krishnav Nikhil Chopraa,,-5.0,-3.0,-4.0,2.0,55.69,2026-04-22T18:09:56.739145
238883,Information,T13,Utah,Brandon Robison,,-4.0,-2.0,0.0,-2.0,51.24,2026-04-22T18:09:56.739172
238883,Information,T13,Oregon State,Nguyen Anh Minh,#24,-4.0,-2.0,-2.0,0.0,51.24,2026-04-22T18:09:56.739201
238883,Information,T13,New Mexico,Clark Sonnenberg,,-4.0,-3.0,0.0,-1.0,51.24,2026-04-22T18:09:56.739228
238883,Information,T16,Long Beach State,Jaden Huggins,,-3.0,-4.0,-1.0,2.0,47.14,2026-04-22T18:09:56.739255
238883,Information,T16,New Mexico,Wyatt Provence,,-3.0,-4.0,1.0,0.0,47.14,2026-04-22T18:09:56.739281
238883,Information,T16,New Mexico,Thayer Plewe,,-3.0,-3.0,-2.0,2.0,47.14,2026-04-22T18:09:56.739307
238883,Information,T19,San Diego (IND),Brady Clark,,-2.0,1.0,-1.0,-2.0,43.37,2026-04-22T18:09:56.739334
238883,Information,T19,Long Beach State (IND),Norwin Gohm,,-2.0,-2.0,-5.0,5.0,43.37,2026-04-22T18:09:56.739363
238883,Information,T19,San Diego,Reed Arnaldo,,-2.0,-3.0,4.0,-3.0,43.37,2026-04-22T18:09:56.739391
238883,Information,T19,San Diego,Cooper Humphreys,,-2.0,-3.0,-3.0,4.0,43.37,2026-04-22T18:09:56.739418
238883,Information,T19,Colorado,Hunter Swanson,,-2.0,-3.0,0.0,1.0,43.37,2026-04-22T18:09:56.739444
238883,Information,T24,UCLA,Tyler Loree,,-1.0,-2.0,-2.0,3.0,39.9,2026-04-22T18:09:56.739472
238883,Information,T24,Oregon State,Antoine Jasmin,,-1.0,0.0,-1.0,0.0,39.9,2026-04-22T18:09:56.739499
238883,Information,T24,San Diego,You Seong Choi,,-1.0,1.0,-2.0,0.0,39.9,2026-04-22T18:09:56.739527
238883,Information,T27,UCLA,Josh Kim,#116,0.0,3.0,0.0,-3.0,36.71,2026-04-22T18:09:56.739556
238883,Information,T27,Utah,Davis Johnson,,0.0,3.0,-3.0,0.0,36.71,2026-04-22T18:09:56.739582
238883,Information,T27,Oregon State,Collin Hodgkinson,,0.0,2.0,0.0,-2.0,36.71,2026-04-22T18:09:56.739609
238883,Information,T27,San Diego,Reid Piron,,0.0,1.0,-1.0,0.0,36.71,2026-04-22T18:09:56.739635
238883,Information,T27,Arizona (IND),Matěj Bača,,0.0,1.0,-1.0,0.0,36.71,2026-04-22T18:09:56.739663
238883,Information,T32,UCLA,Alex Papayoanou,,1.0,2.0,-1.0,0.0,33.78,2026-04-22T18:09:56.739689
238883,Information,T32,Colorado,Ty Holbrook,,1.0,0.0,-1.0,2.0,33.78,2026-04-22T18:09:56.739716
238883,Information,T32,Grand Canyon,Nixon Lauritzen,,1.0,-1.0,4.0,-2.0,33.78,2026-04-22T18:09:56.739746
238883,Information,T32,Long Beach State,Jack Cantlay,,1.0,0.0,-1.0,2.0,33.78,2026-04-22T18:09:56.739774
238883,Information,T36,Utah (IND),Jan Farre,,2.0,1.0,2.0,-1.0,31.08,2026-04-22T18:09:56.739802
238883,Information,T36,Grand Canyon,Matthew Diehl,,2.0,2.0,-1.0,1.0,31.08,2026-04-22T18:09:56.739827
238883,Information,T36,New Mexico (IND),Emil Albers,#148,2.0,-1.0,6.0,-3.0,31.08,2026-04-22T18:09:56.739856
238883,Information,T36,Grand Canyon,Erik Rengardt,,2.0,1.0,0.0,1.0,31.08,2026-04-22T18:09:56.739889
238883,Information,T36,Arizona State,Bowen Mauss,#110,2.0,0.0,2.0,0.0,31.08,2026-04-22T18:09:56.739929
238883,Information,T36,Arizona State,Raul Gomez,,2.0,-4.0,4.0,2.0,31.08,2026-04-22T18:09:56.739957
238883,Information,T36,Utah (IND),Gabriel Palacios,#107,2.0,3.0,0.0,-1.0,31.08,2026-04-22T18:09:56.739986
238883,Information,T43,Oregon State,Rylan Johnson,,3.0,1.0,1.0,1.0,28.59,2026-04-22T18:09:56.740012
238883,Information,T43,UCLA,Kyle An,,3.0,-2.0,1.0,4.0,28.59,2026-04-22T18:09:56.740038
238883,Information,T45,Grand Canyon,Måns Boje,,4.0,3.0,1.0,0.0,26.31,2026-04-22T18:09:56.740065
238883,Information,T45,Colorado,Jackson Rivera,,4.0,2.0,-2.0,4.0,26.31,2026-04-22T18:09:56.740098
238883,Information,T45,Arizona State (IND),Bryan Newman,,4.0,3.0,2.0,-1.0,26.31,2026-04-22T18:09:56.740125
238883,Information,T45,Utah (IND),Ivan Enguita,,4.0,-1.0,0.0,5.0,26.31,2026-04-22T18:09:56.740150
